contract,contract_creator,timestamp,method,decoded,raw
0x7c48664ee5909e4a5286e2fd67c764866ba32e51,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-26T14:04:23+00:00,hex,all:url:0,616c6c3a75726c3a30
0x800cfa4c1027177b205c9d86a274715d58e6e1f4,0xbe372a40ea19db6f4641963b4741b1ff6a0de734,2025-10-27T02:26:17+00:00,hex,all:url:https://example.com/payload.exe,616c6c3a75726c3a68747470733a2f2f6578616d706c652e636f6d2f7061796c6f61642e657865
0x800cfa4c1027177b205c9d86a274715d58e6e1f4,0xbe372a40ea19db6f4641963b4741b1ff6a0de734,2025-10-27T02:26:17+00:00,unknown,example.com,example.com
0x5b25ad2dac5c18570b39b2c9179b92898892da11,0xbe372a40ea19db6f4641963b4741b1ff6a0de734,2025-10-27T02:28:03+00:00,hex,all:ping:url:example2.com,616c6c3a70696e673a75726c3a6578616d706c65322e636f6d
0x5b25ad2dac5c18570b39b2c9179b92898892da11,0xbe372a40ea19db6f4641963b4741b1ff6a0de734,2025-10-27T02:28:03+00:00,unknown,example.com,example.com
0x91b210d9f9856b5f29d2e577c5a193660799dd69,0xbe372a40ea19db6f4641963b4741b1ff6a0de734,2025-10-27T05:44:49+00:00,hex,all:url:https://example.com/test.exe,616c6c3a75726c3a68747470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:37:13+00:00,hex,all:url:htps://example.com/test.exe,616c6c3a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:43:39+00:00,hex,all:ping:url:all:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a616c6c3a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:43:39+00:00,hex,all:url:htps://example.com/test.exe,616c6c3a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:44:21+00:00,hex,all:ping:url:all:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a616c6c3a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:44:21+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:52:35+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T09:52:35+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T10:09:23+00:00,hex,all:ping:url:all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T10:09:23+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T10:16:41+00:00,hex,all:ping:url:all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T10:16:41+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
